"","x"
"PV2READ","Plausible value 2 in reading"
"PV3READ","Plausible value 3 in reading"
"PV4READ","Plausible value 4 in reading"
"PV5READ","Plausible value 5 in reading"
"PV1SCIE","Plausible value 1 in science"
"PV2SCIE","Plausible value 2 in science"
"PV3SCIE","Plausible value 3 in science"
"PV4SCIE","Plausible value 4 in science"
"PV5SCIE","Plausible value 5 in science"
"W_FSTUWT","FINAL STUDENT WEIGHT"
"W_FSTR1","FINAL STUDENT REPLICATE BRR-FAY WEIGHT1"
"W_FSTR2","FINAL STUDENT REPLICATE BRR-FAY WEIGHT2"
"W_FSTR3","FINAL STUDENT REPLICATE BRR-FAY WEIGHT3"
"W_FSTR4","FINAL STUDENT REPLICATE BRR-FAY WEIGHT4"
"W_FSTR5","FINAL STUDENT REPLICATE BRR-FAY WEIGHT5"
"W_FSTR6","FINAL STUDENT REPLICATE BRR-FAY WEIGHT6"
"W_FSTR7","FINAL STUDENT REPLICATE BRR-FAY WEIGHT7"
"W_FSTR8","FINAL STUDENT REPLICATE BRR-FAY WEIGHT8"
"W_FSTR9","FINAL STUDENT REPLICATE BRR-FAY WEIGHT9"
"W_FSTR10","FINAL STUDENT REPLICATE BRR-FAY WEIGHT10"
"W_FSTR11","FINAL STUDENT REPLICATE BRR-FAY WEIGHT11"
"W_FSTR12","FINAL STUDENT REPLICATE BRR-FAY WEIGHT12"
"W_FSTR13","FINAL STUDENT REPLICATE BRR-FAY WEIGHT13"
"W_FSTR14","FINAL STUDENT REPLICATE BRR-FAY WEIGHT14"
"W_FSTR15","FINAL STUDENT REPLICATE BRR-FAY WEIGHT15"
"W_FSTR16","FINAL STUDENT REPLICATE BRR-FAY WEIGHT16"
"W_FSTR17","FINAL STUDENT REPLICATE BRR-FAY WEIGHT17"
"W_FSTR18","FINAL STUDENT REPLICATE BRR-FAY WEIGHT18"
"W_FSTR19","FINAL STUDENT REPLICATE BRR-FAY WEIGHT19"
"W_FSTR20","FINAL STUDENT REPLICATE BRR-FAY WEIGHT20"
"W_FSTR21","FINAL STUDENT REPLICATE BRR-FAY WEIGHT21"
"W_FSTR22","FINAL STUDENT REPLICATE BRR-FAY WEIGHT22"
"W_FSTR23","FINAL STUDENT REPLICATE BRR-FAY WEIGHT23"
"W_FSTR24","FINAL STUDENT REPLICATE BRR-FAY WEIGHT24"
"W_FSTR25","FINAL STUDENT REPLICATE BRR-FAY WEIGHT25"
"W_FSTR26","FINAL STUDENT REPLICATE BRR-FAY WEIGHT26"
"W_FSTR27","FINAL STUDENT REPLICATE BRR-FAY WEIGHT27"
"W_FSTR28","FINAL STUDENT REPLICATE BRR-FAY WEIGHT28"
"W_FSTR29","FINAL STUDENT REPLICATE BRR-FAY WEIGHT29"
"W_FSTR30","FINAL STUDENT REPLICATE BRR-FAY WEIGHT30"
"W_FSTR31","FINAL STUDENT REPLICATE BRR-FAY WEIGHT31"
"W_FSTR32","FINAL STUDENT REPLICATE BRR-FAY WEIGHT32"
"W_FSTR33","FINAL STUDENT REPLICATE BRR-FAY WEIGHT33"
"W_FSTR34","FINAL STUDENT REPLICATE BRR-FAY WEIGHT34"
"W_FSTR35","FINAL STUDENT REPLICATE BRR-FAY WEIGHT35"
"W_FSTR36","FINAL STUDENT REPLICATE BRR-FAY WEIGHT36"
"W_FSTR37","FINAL STUDENT REPLICATE BRR-FAY WEIGHT37"
"W_FSTR38","FINAL STUDENT REPLICATE BRR-FAY WEIGHT38"
"W_FSTR39","FINAL STUDENT REPLICATE BRR-FAY WEIGHT39"
"W_FSTR40","FINAL STUDENT REPLICATE BRR-FAY WEIGHT40"
"W_FSTR41","FINAL STUDENT REPLICATE BRR-FAY WEIGHT41"
"W_FSTR42","FINAL STUDENT REPLICATE BRR-FAY WEIGHT42"
"W_FSTR43","FINAL STUDENT REPLICATE BRR-FAY WEIGHT43"
"W_FSTR44","FINAL STUDENT REPLICATE BRR-FAY WEIGHT44"
"W_FSTR45","FINAL STUDENT REPLICATE BRR-FAY WEIGHT45"
"W_FSTR46","FINAL STUDENT REPLICATE BRR-FAY WEIGHT46"
"W_FSTR47","FINAL STUDENT REPLICATE BRR-FAY WEIGHT47"
"W_FSTR48","FINAL STUDENT REPLICATE BRR-FAY WEIGHT48"
"W_FSTR49","FINAL STUDENT REPLICATE BRR-FAY WEIGHT49"
"W_FSTR50","FINAL STUDENT REPLICATE BRR-FAY WEIGHT50"
"W_FSTR51","FINAL STUDENT REPLICATE BRR-FAY WEIGHT51"
"W_FSTR52","FINAL STUDENT REPLICATE BRR-FAY WEIGHT52"
"W_FSTR53","FINAL STUDENT REPLICATE BRR-FAY WEIGHT53"
"W_FSTR54","FINAL STUDENT REPLICATE BRR-FAY WEIGHT54"
"W_FSTR55","FINAL STUDENT REPLICATE BRR-FAY WEIGHT55"
"W_FSTR56","FINAL STUDENT REPLICATE BRR-FAY WEIGHT56"
"W_FSTR57","FINAL STUDENT REPLICATE BRR-FAY WEIGHT57"
"W_FSTR58","FINAL STUDENT REPLICATE BRR-FAY WEIGHT58"
"W_FSTR59","FINAL STUDENT REPLICATE BRR-FAY WEIGHT59"
"W_FSTR60","FINAL STUDENT REPLICATE BRR-FAY WEIGHT60"
"W_FSTR61","FINAL STUDENT REPLICATE BRR-FAY WEIGHT61"
"W_FSTR62","FINAL STUDENT REPLICATE BRR-FAY WEIGHT62"
"W_FSTR63","FINAL STUDENT REPLICATE BRR-FAY WEIGHT63"
"W_FSTR64","FINAL STUDENT REPLICATE BRR-FAY WEIGHT64"
"W_FSTR65","FINAL STUDENT REPLICATE BRR-FAY WEIGHT65"
"W_FSTR66","FINAL STUDENT REPLICATE BRR-FAY WEIGHT66"
"W_FSTR67","FINAL STUDENT REPLICATE BRR-FAY WEIGHT67"
"W_FSTR68","FINAL STUDENT REPLICATE BRR-FAY WEIGHT68"
"W_FSTR69","FINAL STUDENT REPLICATE BRR-FAY WEIGHT69"
"W_FSTR70","FINAL STUDENT REPLICATE BRR-FAY WEIGHT70"
"W_FSTR71","FINAL STUDENT REPLICATE BRR-FAY WEIGHT71"
"W_FSTR72","FINAL STUDENT REPLICATE BRR-FAY WEIGHT72"
"W_FSTR73","FINAL STUDENT REPLICATE BRR-FAY WEIGHT73"
"W_FSTR74","FINAL STUDENT REPLICATE BRR-FAY WEIGHT74"
"W_FSTR75","FINAL STUDENT REPLICATE BRR-FAY WEIGHT75"
"W_FSTR76","FINAL STUDENT REPLICATE BRR-FAY WEIGHT76"
"W_FSTR77","FINAL STUDENT REPLICATE BRR-FAY WEIGHT77"
"W_FSTR78","FINAL STUDENT REPLICATE BRR-FAY WEIGHT78"
"W_FSTR79","FINAL STUDENT REPLICATE BRR-FAY WEIGHT79"
"W_FSTR80","FINAL STUDENT REPLICATE BRR-FAY WEIGHT80"
"WVARSTRR","RANDOMIZED FINAL VARIANCE STRATUM (1-80)"
"VAR_UNIT","RANDOMLY ASSIGNED VARIANCE UNIT"
"SENWGT_STU","Senate weight - sum of weight within the country is 1000"
"VER_STU","Date of the database creation"
